origin_zone_id,destination_zone_id,base_demand,distance_km,source_flow
139,129,0.205524,2.8016,200300.364556
150,160,0.196424,2.7973,191432.092641
170,151,0.196352,5.5861,191361.860921
169,160,0.193457,2.7973,188540.939519
118,150,0.192655,10.0775,187759.223877
132,140,0.191912,11.4847,187035.221605
130,150,0.189165,5.5947,184357.170656
162,150,0.188844,11.4845,184044.718179
162,153,0.187551,6.2281,182784.579153
169,151,0.173796,7.8914,169379.198903
160,151,0.168977,6.2318,164682.941678
142,150,0.167319,11.4846,163066.429389
121,141,0.166643,7.8857,162407.616964
170,150,0.166062,7.8914,161841.49988
169,141,0.164219,10.0668,160045.273867
132,131,0.162533,5.57,158402.565082
160,141,0.16218,7.8915,158058.678732
152,150,0.160964,11.1397,156873.016689
152,153,0.158431,5.5699,154404.434621
162,142,0.155836,5.5778,151876.029324
153,142,0.154982,6.2282,151043.416932
153,151,0.154414,11.1398,150489.955208
132,150,0.151143,12.462,147301.859588
130,141,0.149199,6.232,145407.686059
162,140,0.148109,12.4619,144345.043932
159,141,0.145486,12.4656,141788.383066
170,141,0.145429,8.3793,141733.319322
132,153,0.139661,7.8797,136111.881035
129,141,0.139301,11.4856,135761.242318
120,141,0.138682,5.5863,135157.866742
132,152,0.137149,5.5778,133663.284137
159,139,0.135416,5.603,131974.190015
170,140,0.134856,10.0668,131428.690158
178,150,0.134411,8.3918,130995.346976
129,149,0.134039,5.6031,130632.525493
162,161,0.132927,5.5698,129548.473963
168,140,0.13201,10.0773,128654.914907
118,141,0.130959,12.4658,127630.457556
153,150,0.130095,16.7096,126788.485002
151,131,0.129299,5.5863,126012.53315
153,163,0.12888,2.7847,125604.902029
179,150,0.128694,10.0667,125423.857608
140,139,0.126969,5.5698,123742.518414
109,140,0.126661,10.0776,123441.864187
120,140,0.126482,7.8917,123267.204724
152,132,0.126185,5.5778,122977.666449
142,131,0.126024,6.2301,122821.394205
179,151,0.124532,8.3792,121367.353907
151,142,0.124051,6.23,120897.922237
129,151,0.121882,12.4657,118784.971999
149,151,0.121345,11.1396,118261.242826
153,140,0.120762,16.9412,117693.267549
118,139,0.120302,5.6032,117244.935162
150,149,0.119657,5.5698,116616.477649
129,118,0.118009,2.8016,115009.943314
178,151,0.117192,10.0667,114214.032949
150,169,0.116905,5.5946,113934.156928
153,162,0.115762,6.2281,112820.166217
121,140,0.113346,12.4621,110465.332894
159,169,0.113257,6.2336,110378.353118
179,141,0.112564,11.1723,109703.343204
130,151,0.111808,7.8916,108966.849403
140,131,0.110986,6.232,108165.356748
159,160,0.110616,5.5697,107805.144837
179,170,0.110505,2.793,107697.016456
169,178,0.108805,2.7972,106040.063146
141,132,0.106175,6.2301,103476.216089
143,141,0.105152,11.1399,102479.94996
161,170,0.104841,2.7931,102177.013652
163,141,0.104181,12.4582,101533.074516
142,162,0.103727,5.5778,101091.259306
131,132,0.103341,5.57,100714.726082
179,140,0.103339,12.4912,100713.104433
150,161,0.103101,6.2318,100480.44513
169,161,0.101574,6.2318,98992.676832
150,139,0.101058,6.2337,98490.18531
139,151,0.101024,11.4855,98456.430623
139,159,0.100517,5.603,97962.175843
143,142,0.100167,5.57,97620.907392
163,151,0.099405,11.4835,96879.016709
169,159,0.09919,6.2336,96669.052704
168,169,0.099181,5.5697,96660.74866
149,129,0.098838,5.6031,96325.776212
177,150,0.098,10.0772,95509.130751
152,161,0.097808,6.23,95322.379209
118,109,0.096324,2.8016,93876.243089
118,151,0.095449,13.9471,93023.209577
151,132,0.09535,7.8856,92927.113317
163,152,0.094882,6.2281,92471.026051
141,152,0.093755,6.23,91372.003173
150,159,0.093706,6.2337,91324.394283
121,150,0.092918,13.9396,90556.101563
163,150,0.09132,16.941,88998.971774
161,162,0.090941,5.5698,88629.784502
170,179,0.090685,2.793,88379.874313
179,161,0.090202,5.5861,87909.364229
163,142,0.089616,7.8796,87338.462665
158,150,0.089597,11.4864,87320.154165
168,149,0.089589,5.603,87311.811032
163,162,0.089503,5.5698,87228.536201
142,161,0.089124,7.8856,86859.075922
178,141,0.088096,12.4912,85856.666214
143,132,0.086799,6.2283,84593.131328
151,160,0.086144,6.2318,83954.640998
121,131,0.085848,6.2302,83666.485346
140,160,0.085261,5.5946,83094.28994
172,153,0.084015,5.5693,81880.256084
161,169,0.083297,6.2318,81179.92754
179,169,0.082875,6.2317,80768.544165
162,132,0.082845,8.3667,80739.123914
159,129,0.082745,8.4046,80642.602389
158,140,0.082596,12.4693,80497.033169
143,140,0.082509,16.7098,80411.994285
120,151,0.082219,8.3794,80129.899851
161,160,0.082141,5.5698,80053.183518
129,130,0.081547,5.5699,79474.613367
161,152,0.081087,6.23,79025.820002
169,149,0.080521,7.8973,78474.869359
152,131,0.080479,7.8856,78433.380017
109,129,0.080113,5.6032,78077.195667
168,151,0.080086,12.4655,78050.603468
109,150,0.079423,12.5067,77404.365096
160,159,0.078988,5.5697,76980.271861
150,131,0.078762,7.8916,76760.218296
178,160,0.078503,5.5945,76507.693489
129,159,0.078449,8.4046,76455.17966
143,150,0.077213,16.9412,75251.090359
132,162,0.076691,8.3667,74742.041457
140,161,0.07667,7.8915,74721.354903
160,161,0.076405,5.5698,74463.373525
118,130,0.076335,6.2339,74395.293825
170,162,0.076242,6.2299,74304.872475
150,129,0.074488,7.8975,72594.721091
169,168,0.073872,5.5697,71994.547583
158,159,0.07361,5.5697,71738.921411
118,149,0.072919,8.4047,71066.252012
132,143,0.072472,6.2283,70629.726718
130,129,0.072203,5.5699,70367.868029
148,150,0.07215,11.1395,70316.302573
142,121,0.07154,5.5779,69721.847078
149,160,0.070923,6.2337,69120.833739
